timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743794571.4126747,794.9817,787.326,802.6374,808.2784,nan,nan,,,,,,,,,,
1743794571.4127927,,,,,,,,,,,,,nan,280846530.0,nan,
1743794571.4131758,,,,,,,0.027954102,0.119140625,1.0078735,,,,,,,
1743794571.4165785,794.57874,811.0989,809.4872,794.17584,nan,nan,,,,,,,,,,
1743794571.4193029,,,,,,,,,,1610915.8,1609304.0,,,,,
1743794571.4204824,802.6374,829.6337,808.68134,796.99634,nan,nan,,,,,,,,,,
1743794571.4243865,823.5897,814.3223,809.89014,806.6667,nan,nan,,,,,,,,,,
1743794571.4282904,815.12823,797.8022,806.26373,797.3993,nan,nan,,,,,,,,,,
1743794571.4284065,,,,,,,,,,,,,nan,280836030.0,nan,
1743794571.4321942,778.86444,797.3993,800.6227,785.31134,nan,nan,,,,,,,,,,
1743794571.4327865,,,,,,,0.025512695,0.11364746,1.0062866,,,,,,,
1743794571.4360981,788.93774,794.9817,803.44324,787.72894,nan,nan,,,,,,,,,,
1743794571.4400022,810.293,807.0696,803.0403,788.5348,nan,nan,,,,,,,,,,
1743794571.4439061,803.0403,817.1429,803.8461,795.78754,nan,nan,,,,,,,,,,
1743794571.4440205,,,,,,,,,,,,,nan,280823970.0,nan,
1743794571.4478099,793.7729,805.8608,807.0696,779.67035,nan,nan,,,,,,,,,,
1743794571.4517140,786.1172,809.0842,802.23444,758.71796,nan,nan,,,,,,,,,,
1743794571.4523971,,,,,,,0.024291992,0.1217041,1.0064087,,,,,,,
1743794571.4544241,,,,,,,,,,1611721.6,1609304.0,,,,,
1743794571.4556179,803.44324,813.91943,803.8461,781.685,nan,nan,,,,,,,,,,
1743794571.4595218,817.1429,805.8608,806.6667,804.2491,nan,nan,,,,,,,,,,
1743794571.4596343,,,,,,,,,,,,,nan,280886000.0,nan,
1743794571.4634259,789.7436,803.8461,801.02563,785.7143,nan,nan,,,,,,,,,,
1743794571.4673297,782.49084,825.6044,800.2198,765.56775,nan,nan,,,,,,,,,,
1743794571.4712336,803.0403,818.7546,803.44324,787.72894,nan,nan,,,,,,,,,,
1743794571.4720075,,,,,,,0.021606445,0.11444092,1.0078735,,,,,,,
1743794571.4751377,804.65204,799.81683,798.20514,797.8022,nan,nan,,,,,,,,,,
1743794571.4752481,,,,,,,,,,,,,nan,280881180.0,nan,
1743794571.4790416,784.10254,797.8022,799.41394,791.75824,nan,nan,,,,,,,,,,
1743794571.4829454,764.7619,792.96704,805.05493,772.01465,nan,nan,,,,,,,,,,
1743794571.4868493,778.46155,800.2198,801.8315,765.9707,nan,nan,,,,,,,,,,
1743794571.4895453,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.4907534,805.05493,812.3077,808.2784,794.57874,nan,nan,,,,,,,,,,
1743794571.4908621,,,,,,,,,,,,,nan,280838460.0,nan,
1743794571.4916182,,,,,,,0.01965332,0.12060547,1.0061646,,,,,,,
1743794571.4946573,803.44324,804.2491,815.5311,801.4286,nan,nan,,,,,,,,,,
1743794571.4985611,776.8498,802.23444,811.50183,784.90845,nan,nan,,,,,,,,,,
1743794571.5024652,768.7912,807.8755,811.50183,784.5055,nan,nan,,,,,,,,,,
1743794571.5063691,801.4286,806.26373,814.7253,808.68134,nan,nan,,,,,,,,,,
1743794571.5064759,,,,,,,,,,,,,nan,280829600.0,nan,
