timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743795015.4401910,,,,,,,,,,,,,nan,285103870.0,nan,
1743795015.4423234,,,,,,,-0.506958,0.061828613,0.85827637,,,,,,,
1743795015.4440582,36.666668,833.663,823.9927,1003.69965,nan,nan,,,,,,,,,,
1743795015.4479632,740.18317,786.52014,804.65204,509.70697,nan,nan,,,,,,,,,,
1743795015.4508214,,,,,,,,,,1610915.8,1608498.1,,,,,
1743795015.4518681,0.0,789.7436,798.60803,533.47986,nan,nan,,,,,,,,,,
1743795015.4557731,746.2271,794.17584,807.0696,1064.5421,nan,nan,,,,,,,,,,
1743795015.4558125,,,,,,,,,,,,,nan,285037000.0,nan,
1743795015.4596782,97.509155,797.3993,809.0842,1139.4872,nan,nan,,,,,,,,,,
1743795015.4619267,,,,,,,-0.49713135,0.058410645,0.8599243,,,,,,,
1743795015.4635832,1193.8828,770.0,785.31134,638.6447,nan,nan,,,,,,,,,,
1743795015.4674881,35.054947,766.3736,778.86444,493.58975,nan,nan,,,,,,,,,,
1743795015.4713931,442.82053,821.1722,810.696,908.60803,nan,nan,,,,,,,,,,
1743795015.4714336,,,,,,,,,,,,,nan,285005570.0,nan,
1743795015.4752982,1611.3187,830.0366,804.2491,1131.0256,nan,nan,,,,,,,,,,
1743795015.4792032,1412.2711,781.28204,785.7143,773.22345,nan,nan,,,,,,,,,,
1743795015.4815300,,,,,,,-0.503479,0.0592041,0.8649292,,,,,,,
1743795015.4831080,258.27838,768.7912,801.4286,410.989,nan,nan,,,,,,,,,,
1743795015.4859498,,,,,,,,,,1610915.8,1608498.1,,,,,
1743795015.4870131,129.34065,798.60803,807.47253,722.0513,nan,nan,,,,,,,,,,
1743795015.4870551,,,,,,,,,,,,,nan,284974940.0,nan,
1743795015.4909182,1252.7106,826.8132,824.3956,1165.2748,nan,nan,,,,,,,,,,
1743795015.4948232,1600.4396,821.1722,821.978,929.15753,nan,nan,,,,,,,,,,
1743795015.4987280,533.47986,781.685,800.6227,466.99634,nan,nan,,,,,,,,,,
1743795015.5011330,,,,,,,-0.50531006,0.05871582,0.8623047,,,,,,,
1743795015.5026331,0.0,792.96704,800.2198,625.34796,nan,nan,,,,,,,,,,
1743795015.5026765,,,,,,,,,,,,,nan,285017660.0,nan,
1743795015.5065382,997.6557,817.5458,817.9487,1086.7032,nan,nan,,,,,,,,,,
1743795015.5104432,92.271065,813.5165,797.8022,1026.2638,nan,nan,,,,,,,,,,
1743795015.5143483,843.73627,756.30035,758.315,532.674,nan,nan,,,,,,,,,,
1743795015.5182531,0.0,737.76556,784.10254,507.69232,nan,nan,,,,,,,,,,
1743795015.5182979,,,,,,,,,,,,,nan,284975740.0,nan,
1743795015.5207362,,,,,,,-0.50445557,0.059020996,0.86499023,,,,,,,
1743795015.5210781,,,,,,,,,,1611721.6,1608498.1,,,,,
1743795015.5221581,682.5641,826.4103,830.4396,1035.5311,nan,nan,,,,,,,,,,
1743795015.5260632,84.212456,834.4689,830.4396,1126.1904,nan,nan,,,,,,,,,,
1743795015.5299683,1170.1099,786.9231,803.8461,641.4652,nan,nan,,,,,,,,,,
1743795015.5338731,14.102564,776.8498,794.17584,410.5861,nan,nan,,,,,,,,,,
1743795015.5339191,,,,,,,,,,,,,nan,284975740.0,nan,
1743795015.5377781,350.1465,814.3223,807.47253,845.7509,nan,nan,,,,,,,,,,
1743795015.5403395,,,,,,,-0.5032959,0.056152344,0.86535645,,,,,,,
1743795015.5416832,1512.1978,837.6923,809.0842,1178.1685,nan,nan,,,,,,,,,,
1743795015.5455883,1477.9487,801.8315,791.75824,807.47253,nan,nan,,,,,,,,,,
1743795015.5494931,334.83517,748.24176,783.2967,434.35898,nan,nan,,,,,,,,,,
1743795015.5495405,,,,,,,,,,,,,nan,284958820.0,nan,
1743795015.5533981,124.908424,780.07324,789.34064,717.619,nan,nan,,,,,,,,,,
1743795015.5562062,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.5573032,1230.9524,818.3516,803.0403,1190.6593,nan,nan,,,,,,,,,,
1743795015.5599427,,,,,,,-0.50653076,0.056152344,0.86450195,,,,,,,
1743795015.5612082,1636.7032,764.7619,798.20514,983.1502,nan,nan,,,,,,,,,,
1743795015.5651131,616.4835,739.7802,785.7143,483.11356,nan,nan,,,,,,,,,,
1743795015.5651619,,,,,,,,,,,,,nan,284999140.0,nan,
1743795015.5690181,0.0,798.20514,798.20514,585.8608,nan,nan,,,,,,,,,,
1743795015.5729232,882.8205,852.1978,825.2015,1059.3041,nan,nan,,,,,,,,,,
