timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805550.2706325,786.1172,800.2198,794.57874,761.13556,nan,nan,,,,,,,,,,
1743805550.2745376,815.5311,828.4249,815.5311,806.6667,nan,nan,,,,,,,,,,
1743805550.2784429,821.5751,809.4872,803.0403,820.7692,nan,nan,,,,,,,,,,
1743805550.2798014,,,,,,,,,,,,,,nan,286453700.0,nan
1743805550.2814286,,,,,,,-0.17279053,0.066345215,1.0014648,,,,,,,
1743805550.2823482,796.5934,769.59705,782.0879,783.2967,nan,nan,,,,,,,,,,
1743805550.2862532,799.011,788.5348,792.5641,765.9707,nan,nan,,,,,,,,,,
1743805550.2901585,830.84247,819.9634,812.3077,805.4579,nan,nan,,,,,,,,,,
1743805550.2940638,842.1245,812.3077,810.293,832.8571,nan,nan,,,,,,,,,,
1743805550.2954209,,,,,,,,,,,,,,nan,286385200.0,nan
1743805550.2979691,815.5311,786.52014,791.3553,797.3993,nan,nan,,,,,,,,,,
1743805550.2982147,,,,,,,,,,1612527.5,1608498.1,,,,,
1743805550.2999966,,,,,,,,,,,,,29.099573,,,
1743805550.3010366,,,,,,,-0.17358398,0.06188965,0.994812,,,,,,,
1743805550.3018742,807.47253,784.90845,790.14655,774.43225,nan,nan,,,,,,,,,,
1743805550.3057795,840.9158,817.9487,819.9634,809.89014,nan,nan,,,,,,,,,,
1743805550.3096848,846.1539,808.2784,824.7985,832.8571,nan,nan,,,,,,,,,,
1743805550.3110404,,,,,,,,,,,,,,nan,286428700.0,nan
1743805550.3135898,814.3223,775.64105,799.41394,814.3223,nan,nan,,,,,,,,,,
1743805550.3174951,792.5641,778.86444,786.1172,779.67035,nan,nan,,,,,,,,,,
1743805550.3206449,,,,,,,-0.17321777,0.05682373,0.9902954,,,,,,,
1743805550.3214004,804.2491,821.5751,809.4872,782.49084,nan,nan,,,,,,,,,,
1743805550.3253055,820.3663,830.4396,823.1868,822.7839,nan,nan,,,,,,,,,,
1743805550.3266602,,,,,,,,,,,,,,nan,286452100.0,nan
1743805550.3292108,801.4286,773.6264,789.7436,818.3516,nan,nan,,,,,,,,,,
1743805550.3331161,772.8205,756.7033,771.6117,780.07324,nan,nan,,,,,,,,,,
1743805550.3333433,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.3370211,786.52014,790.9524,797.8022,779.2674,nan,nan,,,,,,,,,,
1743805550.3402529,,,,,,,-0.17932129,0.05871582,0.98913574,,,,,,,
1743805550.3409264,812.3077,815.9341,819.15753,813.1135,nan,nan,,,,,,,,,,
1743805550.3422797,,,,,,,,,,,,,,nan,286413400.0,nan
1743805550.3448317,806.26373,799.41394,806.26373,815.12823,nan,nan,,,,,,,,,,
1743805550.3487368,777.6557,770.0,781.28204,787.72894,nan,nan,,,,,,,,,,
1743805550.3526421,771.6117,787.72894,790.9524,776.4469,nan,nan,,,,,,,,,,
1743805550.3565474,805.4579,810.293,815.9341,796.99634,nan,nan,,,,,,,,,,
1743805550.3578992,,,,,,,,,,,,,,nan,286438400.0,nan
1743805550.3598611,,,,,,,-0.17791748,0.056762695,0.9873047,,,,,,,
1743805550.3604524,823.5897,795.38464,807.0696,811.0989,nan,nan,,,,,,,,,,
1743805550.3643577,776.8498,772.8205,780.07324,785.7143,nan,nan,,,,,,,,,,
1743805550.3663406,,,,,,,,,,,,,29.099573,,,
1743805550.3682630,753.8828,777.6557,783.69965,760.7326,nan,nan,,,,,,,,,,
1743805550.3684721,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.3721683,788.93774,801.02563,804.65204,779.2674,nan,nan,,,,,,,,,,
1743805550.3735189,,,,,,,,,,,,,,nan,286413400.0,nan
1743805550.3760734,822.381,815.12823,810.696,813.1135,nan,nan,,,,,,,,,,
1743805550.3794694,,,,,,,-0.17578125,0.0579834,0.9906616,,,,,,,
1743805550.3799787,808.2784,775.2381,786.52014,799.41394,nan,nan,,,,,,,,,,
1743805550.3838840,784.90845,753.8828,770.80585,759.92676,nan,nan,,,,,,,,,,
1743805550.3877890,815.12823,807.47253,796.1905,767.98535,nan,nan,,,,,,,,,,
1743805550.3891385,,,,,,,,,,,,,,nan,286485120.0,nan
1743805550.3916943,827.2161,816.337,808.68134,811.50183,nan,nan,,,,,,,,,,
1743805550.3955996,806.26373,775.2381,791.3553,813.5165,nan,nan,,,,,,,,,,
1743805550.3990774,,,,,,,-0.17797852,0.061706543,0.99121094,,,,,,,
1743805550.3995047,786.1172,765.56775,777.6557,779.67035,nan,nan,,,,,,,,,,
1743805550.4034100,792.5641,799.41394,794.9817,777.25275,nan,nan,,,,,,,,,,
1743805550.4036007,,,,,,,,,,1612527.5,1608498.1,,,,,
1743805550.4047582,,,,,,,,,,,,,,nan,286444830.0,nan
1743805550.4073153,830.84247,815.9341,817.9487,821.978,nan,nan,,,,,,,,,,
1743805550.4112203,834.4689,789.34064,802.6374,835.6777,nan,nan,,,,,,,,,,
1743805550.4151256,801.02563,767.1795,779.67035,796.1905,nan,nan,,,,,,,,,,
