timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743795374.6084595,831.6484,807.47253,801.4286,877.98535,nan,nan,,,,,,,,,,
1743795374.6086199,,,,,,,,,,,,,,nan,306570400.0,nan
1743795374.6123617,809.4872,805.4579,806.26373,847.3626,nan,nan,,,,,,,,,,
1743795374.6162639,774.43225,802.6374,805.8608,727.28937,nan,nan,,,,,,,,,,
1743795374.6201661,785.31134,832.4542,801.02563,727.28937,nan,nan,,,,,,,,,,
1743795374.6240683,831.2454,839.304,797.3993,852.6007,nan,nan,,,,,,,,,,
1743795374.6242249,,,,,,,,,,,,,,nan,306542200.0,nan
1743795374.6254005,,,,,,,-0.06768799,0.07696533,0.98101807,,,,,,,
1743795374.6264915,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.6279705,817.5458,794.57874,805.4579,874.35895,nan,nan,,,,,,,,,,
1743795374.6318727,779.2674,771.2088,809.89014,752.674,nan,nan,,,,,,,,,,
1743795374.6357749,782.8938,794.57874,804.2491,710.7692,nan,nan,,,,,,,,,,
1743795374.6396768,831.2454,826.0073,801.02563,832.4542,nan,nan,,,,,,,,,,
1743795374.6398301,,,,,,,,,,,,,,nan,306455170.0,nan
1743795374.6435790,853.8095,808.68134,799.81683,902.96704,nan,nan,,,,,,,,,,
1743795374.6450136,,,,,,,-0.06213379,0.061706543,0.98620605,,,,,,,
1743795374.6474812,810.293,790.54944,801.8315,800.2198,nan,nan,,,,,,,,,,
1743795374.6513834,789.34064,808.2784,805.8608,720.4396,nan,nan,,,,,,,,,,
1743795374.6552856,816.337,828.4249,806.6667,807.8755,nan,nan,,,,,,,,,,
1743795374.6554351,,,,,,,,,,,,,,nan,306488200.0,nan
1743795374.6558764,,,,,,,,,,,,,35.131683,,,
1743795374.6591878,834.4689,817.5458,804.2491,894.5055,nan,nan,,,,,,,,,,
1743795374.6616001,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.6630900,807.8755,786.1172,805.4579,834.4689,nan,nan,,,,,,,,,,
1743795374.6646266,,,,,,,-0.061035156,0.060180664,1.0005493,,,,,,,
1743795374.6669919,774.0293,809.0842,800.2198,725.2747,nan,nan,,,,,,,,,,
1743795374.6708941,796.99634,832.0513,793.7729,755.89746,nan,nan,,,,,,,,,,
1743795374.6710403,,,,,,,,,,,,,,nan,306412450.0,nan
1743795374.6747963,828.4249,787.72894,801.4286,870.32965,nan,nan,,,,,,,,,,
1743795374.6786985,809.0842,779.67035,811.9048,846.55676,nan,nan,,,,,,,,,,
1743795374.6826007,772.4176,806.6667,809.89014,730.5128,nan,nan,,,,,,,,,,
1743795374.6842396,,,,,,,-0.045410156,0.07067871,1.0075073,,,,,,,
1743795374.6865029,790.54944,803.8461,808.2784,736.55676,nan,nan,,,,,,,,,,
1743795374.6866453,,,,,,,,,,,,,,nan,306397950.0,nan
1743795374.6904051,826.8132,793.7729,804.2491,842.52747,nan,nan,,,,,,,,,,
1743795374.6943073,830.84247,782.0879,800.2198,864.68866,nan,nan,,,,,,,,,,
1743795374.6967087,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.6982093,790.14655,790.9524,796.5934,772.8205,nan,nan,,,,,,,,,,
1743795374.7021115,770.40295,784.5055,787.72894,715.2015,nan,nan,,,,,,,,,,
1743795374.7022505,,,,,,,,,,,,,,nan,306367330.0,nan
1743795374.7038527,,,,,,,-0.03289795,0.086364746,1.0079956,,,,,,,
1743795374.7060137,806.6667,789.7436,789.34064,811.0989,nan,nan,,,,,,,,,,
1743795374.7099159,831.2454,793.36993,799.81683,902.96704,nan,nan,,,,,,,,,,
1743795374.7138181,795.78754,800.6227,803.44324,804.2491,nan,nan,,,,,,,,,,
1743795374.7177203,756.7033,807.47253,808.2784,709.5604,nan,nan,,,,,,,,,,
1743795374.7178555,,,,,,,,,,,,,,nan,306332670.0,nan
1743795374.7216225,800.6227,801.8315,811.9048,782.49084,nan,nan,,,,,,,,,,
1743795374.7221050,,,,,,,,,,,,,35.092182,,,
1743795374.7234657,,,,,,,-0.02532959,0.093688965,1.0223389,,,,,,,
1743795374.7255247,848.5714,776.04395,805.05493,875.16486,nan,nan,,,,,,,,,,
1743795374.7294266,799.81683,754.2857,799.41394,805.4579,nan,nan,,,,,,,,,,
1743795374.7318172,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.7333288,769.19415,790.9524,807.47253,706.7399,nan,nan,,,,,,,,,,
1743795374.7334607,,,,,,,,,,,,,,nan,306286750.0,nan
1743795374.7372310,801.02563,825.2015,807.47253,752.674,nan,nan,,,,,,,,,,
1743795374.7411332,840.10986,813.1135,798.20514,860.2564,nan,nan,,,,,,,,,,
1743795374.7430789,,,,,,,-0.017700195,0.09710693,1.0289307,,,,,,,
1743795374.7450354,821.5751,785.31134,796.5934,844.94507,nan,nan,,,,,,,,,,
1743795374.7489376,770.40295,786.9231,799.81683,720.4396,nan,nan,,,,,,,,,,
1743795374.7490656,,,,,,,,,,,,,,nan,306253700.0,nan
1743795374.7528398,781.28204,799.011,796.5934,708.7546,nan,nan,,,,,,,,,,
1743795374.7567420,826.0073,819.5604,803.44324,829.6337,nan,nan,,,,,,,,,,
1743795374.7606440,813.1135,806.26373,809.4872,877.1795,nan,nan,,,,,,,,,,
1743795374.7626920,,,,,,,-0.019104004,0.08642578,1.0388184,,,,,,,
1743795374.7645462,757.50916,771.6117,805.05493,756.7033,nan,nan,,,,,,,,,,
1743795374.7646708,,,,,,,,,,,,,,nan,306261760.0,nan
1743795374.7669258,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.7684484,745.0183,766.3736,801.4286,678.1319,nan,nan,,,,,,,,,,
